,Date,vendors,Debit,Credit,account
310,2024-03-18,Siddharth,140.0,0.0,chequing
311,2024-03-18,WALMART,35.06,0.0,chequing
312,2024-03-18,MCDONALD'S,5.93,0.0,chequing
313,2024-03-18,UBER,19.35,0.0,chequing
314,2024-03-18,WALMART,5.63,0.0,chequing
315,2024-03-18,MCDONALD'S,5.15,0.0,chequing
316,2024-03-18,UBER,19.12,0.0,chequing
317,2024-03-18,OSMOWS,19.07,0.0,chequing
318,2024-03-15,WALMART,14.3,0.0,chequing
319,2024-03-15,MCDONALD'S,2.09,0.0,chequing
320,2024-03-15,MCDONALD'S,5.15,0.0,chequing
321,2024-03-15,UBER,19.26,0.0,chequing
322,2024-03-15,Walmart Paycheque,0.0,940.6,chequing
323,2024-03-14,WALMART,16.71,0.0,chequing
324,2024-03-14,WALMART,4.97,0.0,chequing
325,2024-03-14,MCDONALD'S,4.2,0.0,chequing
326,2024-03-14,UBER,19.16,0.0,chequing
327,2024-03-14,GM Paycheque,0.0,234.67,chequing
328,2024-03-13,WALMART,3.93,0.0,chequing
329,2024-03-13,MCDONALD'S,5.96,0.0,chequing
330,2024-03-13,UBER,19.12,0.0,chequing
331,2024-03-13,No Frills,33.96,0.0,chequing
332,2024-03-12,Tim Hortons,3.14,0.0,chequing
333,2024-03-11,MISC,4.0,0.0,chequing
334,2024-03-11,Siddharth,20.0,0.0,chequing
335,2024-03-11,MCDONALD'S,7.45,0.0,chequing
336,2024-03-11,MCDONALD'S,1.33,0.0,chequing
337,2024-03-11,WALMART,3.15,0.0,chequing
338,2024-03-11,UBER,21.34,0.0,chequing
339,2024-03-11,No Frills,3.69,0.0,chequing
340,2024-03-11,Tim Hortons,1.67,0.0,chequing
341,2024-03-11,DOLLARAMA,4.88,0.0,chequing
342,2024-03-08,UBER,3.08,0.0,chequing
343,2024-03-08,WALMART,4.76,0.0,chequing
344,2024-03-08,MCDONALD'S,1.33,0.0,chequing
345,2024-03-08,UBER,19.21,0.0,chequing
346,2024-03-08,Durham College,4262.6,0.0,chequing
347,2024-03-07,OTU,12.43,0.0,chequing
348,2024-03-07,ANJAL,0.0,450.0,chequing
349,2024-03-07,GM Paycheque,0.0,234.69,chequing
350,2024-03-07,Durham College,3500.0,0.0,chequing
351,2024-03-07,TOMIN,0.0,2000.0,chequing
352,2024-03-06,WALMART,6.58,0.0,chequing
353,2024-03-06,MCDONALD'S,9.59,0.0,chequing
354,2024-03-06,UBER,17.82,0.0,chequing
356,2024-03-05,No Frills,15.9,0.0,chequing
357,2024-03-05,Joyal,0.0,1000.0,chequing
358,2024-03-05,PICOCOOLER,8.15,0.0,chequing
359,2024-03-04,UBER,7.01,0.0,chequing
360,2024-03-04,WALMART,8.22,0.0,chequing
361,2024-03-04,MCDONALD'S,6.96,0.0,chequing
362,2024-03-04,UBER,19.13,0.0,chequing
